"Review","Study","column_name","column_value","random_sequence_generation","allocation_concealment","blinding_of_participants_and_personnel","blinding_of_outcome_assessment","blinding_of_participant_personnel_outcome","incomplete_outcome_data","selective_outcome_reporting","other_bias","unknown","number_cat"
"CD000031","Brown 2014","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Cinciripini 2005","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Cinciripini 2013","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Cinciripini 2018","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Collins 2004","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Covey 2002","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Cox 2012","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Da Costa 2002","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Dalsgarð 2004","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Ebbert 2014","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Eisenberg 2013","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Elsasser 2002","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Evins 2001","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Evins 2005","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Evins 2007","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Evins 2008","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Fatemi 2013","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Ferry 1992","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Ferry 1994","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Fossati 2007","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Gariti 2009","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","George 2002","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","George 2003","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","George 2008","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Gilbert 2019","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Gonzales 2001","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Gonzales 2006","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Górecka 2003","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Grant 2007","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Gray 2011","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Gray 2012","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Haggsträm 2006","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Hall 1998","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Hall 2002","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Hall 2004","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Hertzberg 2001","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Hilberink 2010","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Hoch 2006","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Holt 2005","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Hurt 1997","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Johns 2017","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Jorenby 1999","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Jorenby 2006","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Kahn 2012","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Kalman 2011","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Karam-Hage 2011","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Killen 2000","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Killen 2004","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Killen 2010","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Kumar 2020","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Levine 2010","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","McCarthy 2008","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Minami 2014","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Moreno-Coutino 2015","Random_sequence_generation__selection_bias_","High risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Muramoto 2007","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Myles 2004","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","NCT00132821","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","NCT00308763","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","NCT00495352","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","NCT00578669","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","NCT01406223","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Niaura 2002","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Nides 2006","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Parsons 2009","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Perkins 2013","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Piper 2007","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Piper 2009","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Planer 2011","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Prochazka 1998","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Prochazka 2004","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Qin 2021","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Richmond 2013","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Rigotti 2006","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Rose 2013","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Rose 2014","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Rose 2017","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Rovina 2003","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Rovina 2009","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Saules 2004","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Schepis 2006","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Schmitz 2007","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Schnoll 2010","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Selby 2003","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Sheng 2013","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Siddiqi 2013","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Simon 2004","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Simon 2009","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Singh 2010","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Smith 2009","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","SMK20001","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Sood 2010","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Sood 2012","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Spring 2007","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Stapleton 2013","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Swan 2003","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Swanson 2003","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Tashkin 2001","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Tidey 2011","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Tonnesen 2003","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Tonstad 2003","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Urdapilleta-Herrera 2013","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Uyar 2007","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Wagena 2005","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Weinberger 2008","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Weinberger 2010","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Weiner 2012","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","White 2005","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Wittchen 2011","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Zellweger 2005","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Zhang 2022","Random_sequence_generation__selection_bias_","Low risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Zincir 2013","Random_sequence_generation__selection_bias_","Unclear risk",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Abdelghany 2022","Allocation_concealment__selection_bias_","Low risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Ahluwalia 2002","Allocation_concealment__selection_bias_","Low risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Anthenelli 2016","Allocation_concealment__selection_bias_","Low risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Aubin 2004","Allocation_concealment__selection_bias_","Low risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Aveyard 2008","Allocation_concealment__selection_bias_","Low risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Barnes 2006","Allocation_concealment__selection_bias_","High risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Benli 2017","Allocation_concealment__selection_bias_","Unclear risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Berlin 1995","Allocation_concealment__selection_bias_","Unclear risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Berlin 2002","Allocation_concealment__selection_bias_","Unclear risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Berlin 2012","Allocation_concealment__selection_bias_","Low risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Biberman 2003","Allocation_concealment__selection_bias_","Low risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Blondal 1999","Allocation_concealment__selection_bias_","Low risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Brown 2007","Allocation_concealment__selection_bias_","Unclear risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Brown 2014","Allocation_concealment__selection_bias_","High risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Cinciripini 2005","Allocation_concealment__selection_bias_","Low risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Cinciripini 2013","Allocation_concealment__selection_bias_","Unclear risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Cinciripini 2018","Allocation_concealment__selection_bias_","Unclear risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Collins 2004","Allocation_concealment__selection_bias_","Low risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Covey 2002","Allocation_concealment__selection_bias_","Unclear risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Cox 2012","Allocation_concealment__selection_bias_","Unclear risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Da Costa 2002","Allocation_concealment__selection_bias_","Unclear risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Dalsgarð 2004","Allocation_concealment__selection_bias_","Low risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Ebbert 2014","Allocation_concealment__selection_bias_","Low risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Eisenberg 2013","Allocation_concealment__selection_bias_","Low risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Elsasser 2002","Allocation_concealment__selection_bias_","Unclear risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Evins 2001","Allocation_concealment__selection_bias_","Unclear risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Evins 2005","Allocation_concealment__selection_bias_","Unclear risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Evins 2007","Allocation_concealment__selection_bias_","Unclear risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Evins 2008","Allocation_concealment__selection_bias_","Unclear risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Fatemi 2013","Allocation_concealment__selection_bias_","Unclear risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Ferry 1992","Allocation_concealment__selection_bias_","Unclear risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Ferry 1994","Allocation_concealment__selection_bias_","Unclear risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Fossati 2007","Allocation_concealment__selection_bias_","Unclear risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Gariti 2009","Allocation_concealment__selection_bias_","Unclear risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","George 2002","Allocation_concealment__selection_bias_","Unclear risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","George 2003","Allocation_concealment__selection_bias_","Unclear risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","George 2008","Allocation_concealment__selection_bias_","Unclear risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Gilbert 2019","Allocation_concealment__selection_bias_","Unclear risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"CD000031","Gonzales 2001","Allocation_concealment__selection_bias_","Unclear risk",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
