"Review","Analysis_group","Analysis_number","Analysis_name","Subgroup","Study","bias_arising_from_the_randomization_process","bias_due_to_deviations_from_intended_interventions","bias_due_to_missing_outcome_data","bias_in_measurement_of_the_outcome","bias_in_selection_of_the_reported_result","overall_bias"
"CD015328",NA,NA,NA,NA,"Baranowski 2011","High risk","Low risk","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Baranowski 2011","High risk","Low risk","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Barbeau 2007","Some concerns","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Barnes 2015","Low risk","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Barnes 2021","Low risk","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Barnes 2021","Low risk","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Beech 2003","Low risk","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Bohnert 2013","High risk","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Brandstetter 2012","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Breheny 2020","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Breheny 2020","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Brown 2013","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Brown 2013","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Brown 2013","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Caballero 2003","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Cao 2015","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Cao 2015","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Chai 2019","Low risk","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Chai 2019","Low risk","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Chen 2010","Low risk","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Choo 2020","High risk","Low risk","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Clemes 2020","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk"
"CD015328",NA,NA,NA,NA,"Coleman 2012","High risk","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Coleman 2012","High risk","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Crespo 2012","Some concerns","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Crespo 2012","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Crespo 2012","Some concerns","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Crespo 2012","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Cunha 2013","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Damsgaard 2014","Some concerns","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Davis 2021","High risk","Low risk","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Davis 2021","High risk","Low risk","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Davis 2021","High risk","Low risk","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"De Bock 2013","Low risk","High risk","High risk","Low risk","High risk","High risk"
"CD015328",NA,NA,NA,NA,"De Bock 2013","Low risk","High risk","High risk","Low risk","High risk","High risk"
"CD015328",NA,NA,NA,NA,"de Greeff 2016","Low risk","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"De Heer 2011","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"De Heer 2011","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"de Ruyter 2012","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"de Ruyter 2012","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"de Ruyter 2012","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk"
"CD015328",NA,NA,NA,NA,"Diaz-Castro 2021","Low risk","Some concerns","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Diaz-Castro 2021","Low risk","Some concerns","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Donnelly 2009","Some concerns","Low risk","High risk","Low risk","Low risk","High risk"
"CD015328",NA,NA,NA,NA,"Drummy 2016","High risk","Low risk","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Duncan 2019","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Elder 2014","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Elder 2014","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Elder 2014","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Elder 2014","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Elder 2014","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Elder 2014","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Fairclough 2013","Some concerns","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Fairclough 2013","Some concerns","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Farmer 2017","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Farmer 2017","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Farmer 2017","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Farmer 2017","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Ford 2013","Some concerns","High risk","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Foster 2008","High risk","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Foster 2008","High risk","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Fulkerson 2010","Some concerns","Some concerns","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Fulkerson 2010","Some concerns","Some concerns","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Fulkerson 2015","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Fulkerson 2015","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Fulkerson 2022","Some concerns","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Gentile 2009","Some concerns","High risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Gentile 2009","Some concerns","High risk","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Greve 2015","Some concerns","High risk","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Griffin 2019","Low risk","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Grydeland 2014","Some concerns","High risk","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Grydeland 2014","Some concerns","High risk","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Ha 2021","Low risk","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Ha 2021","Low risk","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Habib-Mourad 2014","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Habib-Mourad 2020","High risk","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Haire-Joshu 2010","High risk","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Han 2006","High risk","Low risk","Low risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"HEALTHY Study Group 2010","Some concerns","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Hendrie 2011","Low risk","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Hendrie 2011","Low risk","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Hendy 2011","Some concerns","Some concerns","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Hopper 2005","High risk","Low risk","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Howe 2011","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Hull 2018","Low risk","Low risk","High risk","Low risk","Low risk","High risk"
"CD015328",NA,NA,NA,NA,"Hull 2018","Low risk","Low risk","High risk","Low risk","Low risk","High risk"
"CD015328",NA,NA,NA,NA,"Hull 2018","Low risk","Low risk","High risk","Low risk","Low risk","High risk"
"CD015328",NA,NA,NA,NA,"Hull 2018","Low risk","Low risk","High risk","Low risk","Low risk","High risk"
"CD015328",NA,NA,NA,NA,"Ickovics 2019","Some concerns","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"James 2004","Low risk","Some concerns","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"James 2004","Low risk","Some concerns","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"James 2004","Low risk","Some concerns","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"James 2004","Low risk","Some concerns","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Jansen 2011","High risk","Low risk","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Jones 2015","Low risk","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Jones 2015","Low risk","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Jones 2015","Low risk","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Jones 2015","Low risk","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Kain 2014","High risk","Low risk","High risk","High risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Kain 2014","High risk","Low risk","High risk","High risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Keller 2009","Some concerns","High risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Keshani 2016","High risk","High risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Ketelhut 2022","Low risk","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Khan 2014","Low risk","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Khan 2014","Low risk","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Kipping 2008","Some concerns","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Kipping 2014","Some concerns","Low risk","Low risk","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Kipping 2014","Some concerns","Low risk","Low risk","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Klesges 2010","Some concerns","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Klesges 2010","Some concerns","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Kobel 2017","Some concerns","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Kobel 2017","Some concerns","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Kocken 2016","High risk","High risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Kocken 2016","High risk","High risk","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Kovalskys 2016","High risk","Some concerns","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Kriemler 2010","Low risk","Low risk","High risk","Low risk","Low risk","High risk"
"CD015328",NA,NA,NA,NA,"Kriemler 2010","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk"
"CD015328",NA,NA,NA,NA,"Kubik 2021","Some concerns","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Kubik 2021","Some concerns","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Kubik 2021","Some concerns","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Kubik 2021","Some concerns","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Lau 2016","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Lazaar 2007","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Lazaar 2007","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Lent 2014","Some concerns","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Lent 2014","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Lent 2014","Some concerns","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Lent 2014","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Lent 2014","Some concerns","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Lent 2014","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Levy 2012","Some concerns","Some concerns","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Li 2010","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Li 2010","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Li 2010","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Li 2010","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Li 2019","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk"
"CD015328",NA,NA,NA,NA,"Lichtenstein 2011","High risk","Low risk","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Lichtenstein 2011","High risk","Low risk","Low risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Liu 2019","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Liu 2019","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Liu 2019","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Liu 2019","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Liu 2022","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk"
"CD015328",NA,NA,NA,NA,"Liu 2022","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk"
"CD015328",NA,NA,NA,NA,"Liu 2022","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk"
"CD015328",NA,NA,NA,NA,"Liu 2022","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk"
"CD015328",NA,NA,NA,NA,"Llargues 2012","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Lloyd 2018","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk"
"CD015328",NA,NA,NA,NA,"Lloyd 2018","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk"
"CD015328",NA,NA,NA,NA,"Magnusson 2012","High risk","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Marcus 2009","High risk","Low risk","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Martinez-Vizcaino 2014","Some concerns","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Martinez-Vizcaino 2020","High risk","Low risk","Low risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Martinez-Vizcaino 2020","High risk","Low risk","Low risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Martinez-Vizcaino 2022","High risk","Low risk","High risk","Low risk","Low risk","High risk"
