"outcome","label","filename"
"Incidence of otitis media within 14 days. Otitis media defined by clinical diagnosis","secondary","14651858.CD000023.pub5"
"Incidence of otitis media within 14 days: early (pre-1975) versus late studies (post-1975)","secondary","14651858.CD000023.pub5"
"Incidence of sinusitis within 14 days. Sinusitis defined by clinical diagnosis","secondary","14651858.CD000023.pub5"
"Incidence of quinsy within 2 months. Quinsy defined by clinical diagnosis","secondary","14651858.CD000023.pub5"
"Incidence of acute glomerulonephritis within 1 month. Acute glomerulonephritis defined by clinical diagnosis","secondary","14651858.CD000023.pub5"
"Total mortality","primary","14651858.CD000028.pub3"
"Cause of cardiovascular mortality","secondary","14651858.CD000028.pub3"
"Cardiovascular mortality and morbidity","secondary","14651858.CD000028.pub3"
"Cerebrovascular mortality and morbidity","secondary","14651858.CD000028.pub3"
"Coronary heart disease mortality and morbidity","secondary","14651858.CD000028.pub3"
"Withdrawal due to adverse effects","secondary","14651858.CD000028.pub3"
"Cardiovascular morbidity and mortality","secondary","14651858.CD000028.pub3"
"Cerebrovascular morbidity and mortality","secondary","14651858.CD000028.pub3"
"Coronary heart disease morbidity and mortality","secondary","14651858.CD000028.pub3"
"Withdrawal due to adverse effects 60 years or older","secondary","14651858.CD000028.pub3"
"Death or dependence at end of follow-up","primary","14651858.CD000029.pub4"
"Deaths from any cause during treatment period","secondary","14651858.CD000029.pub4"
"Deaths from any cause during follow-up","secondary","14651858.CD000029.pub4"
"Deep venous thrombosis during treatment period","secondary","14651858.CD000029.pub4"
"Pulmonary embolism during treatment period","secondary","14651858.CD000029.pub4"
"Recurrent ischaemic/unknown stroke during treatment period","secondary","14651858.CD000029.pub4"
"Symptomatic intracranial haemorrhage during treatment period","secondary","14651858.CD000029.pub4"
"Recurrent stroke/intracranial haemorrhage during treatment period","secondary","14651858.CD000029.pub4"
"Major extracranial haemorrhage during treatment period","secondary","14651858.CD000029.pub4"
"Complete recovery from stroke (post hoc)","secondary","14651858.CD000029.pub4"
"Death or dependency, end of trial by intervention","primary","14651858.CD000039.pub3"
"Death or dependency, end of trial by stroke type","primary","14651858.CD000039.pub3"
"Death or dependency, end of trial by stroke location","primary","14651858.CD000039.pub3"
"Death or dependency, end of trial by time to treatment","primary","14651858.CD000039.pub3"
"Death, early by intervention","secondary","14651858.CD000039.pub3"
"Death, early by stroke type","secondary","14651858.CD000039.pub3"
"Death, early by time to treatment","secondary","14651858.CD000039.pub3"
"Death, end of trial by intervention","secondary","14651858.CD000039.pub3"
"Death, end of trial by stroke type","secondary","14651858.CD000039.pub3"
"Death, end of trial by time to treatment","secondary","14651858.CD000039.pub3"
"Barthel Index, end of trial, by intervention","secondary","14651858.CD000039.pub3"
"Barthel Index, end of trial, by stroke type","secondary","14651858.CD000039.pub3"
"Barthel Index, end of trial, by time to treatment","secondary","14651858.CD000039.pub3"
"Early neurological deterioration, by intervention","secondary","14651858.CD000039.pub3"
"Early neurological deterioration, by stroke type","secondary","14651858.CD000039.pub3"
"Early neurological deterioration, by time to treatment","secondary","14651858.CD000039.pub3"
"Quality of life (EuroQol) at end of trial, by intervention","secondary","14651858.CD000039.pub3"
"Quality of life (EuroQoL) at end of trial, by stroke type","secondary","14651858.CD000039.pub3"
"Quality of life (EuroQoL) at end of trial, by time to treatment","secondary","14651858.CD000039.pub3"
"Length of stay, by intervention","secondary","14651858.CD000039.pub3"
"Length of stay, by stroke type","secondary","14651858.CD000039.pub3"
"Length of stay, by time to treatment","secondary","14651858.CD000039.pub3"
"SBP, first after randomisation, by intervention","secondary","14651858.CD000039.pub3"
"SBP, first after randomisation by stroke type","secondary","14651858.CD000039.pub3"
"SBP, first after randomisation by time to treatment","secondary","14651858.CD000039.pub3"
"SBP, at day 1","secondary","14651858.CD000039.pub3"
"SBP, at day 7","secondary","14651858.CD000039.pub3"
"SBP, at end of treatment","secondary","14651858.CD000039.pub3"
"DBP, first after randomisation by intervention","secondary","14651858.CD000039.pub3"
"DBP, first after randomisation by stroke type","secondary","14651858.CD000039.pub3"
"DBP, first after randomisation by time to treatment","secondary","14651858.CD000039.pub3"
"DBP, at day 1","secondary","14651858.CD000039.pub3"
"DBP, at day 7","secondary","14651858.CD000039.pub3"
"DBP, at end of treatment","secondary","14651858.CD000039.pub3"
"HR at baseline","secondary","14651858.CD000039.pub3"
"HR, first after randomisation","secondary","14651858.CD000039.pub3"
"HR, at day 1","secondary","14651858.CD000039.pub3"
"HR, at day 7","secondary","14651858.CD000039.pub3"
"HR, at end of treatment","secondary","14651858.CD000039.pub3"
"Death or dependency, end of trial by C/S","primary","14651858.CD000039.pub3"
"Death or dependency, end of trial by stroke type C/S","primary","14651858.CD000039.pub3"
"Death early, by C/S","secondary","14651858.CD000039.pub3"
"Death early, by stroke type C/S","secondary","14651858.CD000039.pub3"
"Death early, by time to treatment C/S","secondary","14651858.CD000039.pub3"
"Death, end of trial by C/S","secondary","14651858.CD000039.pub3"
"Death end of trial, by stroke type C/S","primary","14651858.CD000039.pub3"
"Death, end of trial by time to treatment C/S","secondary","14651858.CD000039.pub3"
"Barthel Index, end of trial, by C/S","secondary","14651858.CD000039.pub3"
"Early neurological deterioration, by C/S","secondary","14651858.CD000039.pub3"
"Quality of life (EuroQol) at end of trial, by C/S","secondary","14651858.CD000039.pub3"
"Length of stay, by C/S","secondary","14651858.CD000039.pub3"
"SBP, first after randomisation, by C/S","secondary","14651858.CD000039.pub3"
"SBP, at day 1 by C/S","secondary","14651858.CD000039.pub3"
"SBP, at end of treatment by C/S","secondary","14651858.CD000039.pub3"
"DBP, at baseline by C/S","secondary","14651858.CD000039.pub3"
"DBP at day 1, by C/S","secondary","14651858.CD000039.pub3"
"DBP, at end of treatment by C/S","secondary","14651858.CD000039.pub3"
"Death early, by intervention","secondary","14651858.CD000039.pub3"
"Death early, by stroke type","secondary","14651858.CD000039.pub3"
"Death end of trial, by intervention","primary","14651858.CD000039.pub3"
"SBP, at baseline","secondary","14651858.CD000039.pub3"
"SBP, first after randomisation","secondary","14651858.CD000039.pub3"
"DBP, at baseline","secondary","14651858.CD000039.pub3"
"DBP, first after randomisation","secondary","14651858.CD000039.pub3"
"Parasitological failure","secondary","14651858.CD000053.pub3"
"Haematuria at eight weeks","secondary","14651858.CD000053.pub3"
"Haemoglobin","secondary","14651858.CD000053.pub3"
"Adverse events","secondary","14651858.CD000053.pub3"
"Parasitological failure at four to six weeks","primary","14651858.CD000053.pub3"
"Parasitological failure at two to three months","secondary","14651858.CD000053.pub3"
"Parasitological failure at six to seven months","secondary","14651858.CD000053.pub3"
"Haematuria at three months","secondary","14651858.CD000053.pub3"
"Proteinuria at three months","secondary","14651858.CD000053.pub3"
"Haematuria at six weeks","secondary","14651858.CD000053.pub3"
"Proteinuria at six weeks","secondary","14651858.CD000053.pub3"
"Haematuria at nine months","secondary","14651858.CD000053.pub3"
"Proteinuria at nine months","secondary","14651858.CD000053.pub3"
"Praziquantel 40 mg/single dose versus praziquantel 2 x 40 mg/kg: parasitological failure","primary","14651858.CD000053.pub3"
"Praziquantel 40 mg/kg single dose versus praziquantel 3 x 40 mg/kg: parasitological failure","primary","14651858.CD000053.pub3"
"Praziquantel 40 mg/single dose versus praziquantel 2 x 40 mg/kg: microhaematuria at six months","secondary","14651858.CD000053.pub3"
"Haematuria","secondary","14651858.CD000053.pub3"
"Parasitological failure at one month","primary","14651858.CD000053.pub3"
"Parasitological failure at four months","secondary","14651858.CD000053.pub3"
"Praziquantel 40 mg/kg single dose versus metrifonate 10 mg/kg single dose: parasitological failure","secondary","14651858.CD000053.pub3"
"Praziquantel 40 mg/kg single dose versus metrifonate 10 mg/kg single dose: haemoglobin","secondary","14651858.CD000053.pub3"
"Praziquantel 40 mg/kg single dose versus metrifonate 20 and 30 mg/kg given as split doses: parasitological failure","primary","14651858.CD000053.pub3"
"Praziquantel 40 mg/kg single dose versus metrifonate 30 mg/kg given as split dose: adverse events","secondary","14651858.CD000053.pub3"
"Praziquantel 30 mg/kg single dose versus metrifonate 30 mg/kg given as split dose: parasitological failure","primary","14651858.CD000053.pub3"
"Praziquantel 30 mg/kg single dose versus metrifonate 30 mg/kg given as split dose: adverse events","secondary","14651858.CD000053.pub3"
"Praziquantel 40 mg/kg once a year versus metrifonate 10 mg/kg every 4 months","secondary","14651858.CD000053.pub3"
"Praziquantel 40 mg/kg once a year versus metrifonate 10 mg/kg every 4 months: parasitological failure","primary","14651858.CD000053.pub3"
"Praziquantel 40 mg/kg versus praziquantel 10 mg/kg and metrifonate 10 mg/kg","secondary","14651858.CD000053.pub3"
"Parasitological failure at eight weeks","primary","14651858.CD000053.pub3"
"Parasitological failure at six weeks","primary","14651858.CD000053.pub3"
"Primary outcome: hospital admissions","primary","14651858.CD000060.pub2"
"Primary outcome: hospital admissions subgrouped by trial protocol","primary","14651858.CD000060.pub2"
"Primary outcome: hospital admissions subgrouped by review authors' judgment of trial report","primary","14651858.CD000060.pub2"
"Primary outcome: hospital admissions subgrouped by control group event rate (tertiles)","primary","14651858.CD000060.pub2"
"Primary outcome: hospital admissions subgrouped by co-intervention of corticosteroid","primary","14651858.CD000060.pub2"
" Change from baseline in % predicted FEV1, 60 minutes after the last of IB","secondary","14651858.CD000060.pub2"
" Change from baseline in % predicted FEV1, 120 minutes after last IB","secondary","14651858.CD000060.pub2"
" % Change in FEV1 or PEFR at 60 minutes after last IB (A+/- 15 minutes)","secondary","14651858.CD000060.pub2"
" % Change in FEV1 or PEFR at 120 minutes after last IB (A+/- 30 minutes)","secondary","14651858.CD000060.pub2"
"% Change in respiratory resistance at 60 minutes after IB (A+/- 15 minutes)","secondary","14651858.CD000060.pub2"
"% Change in respiratory resistance at 120 minutes after IB (A+/- 30 minutes)","secondary","14651858.CD000060.pub2"
"Change in clinical score at 120 minutes (A+/- 30 minutes)","secondary","14651858.CD000060.pub2"
"Need for repeat bronchodilator treatment after standard protocol prior to disposition","secondary","14651858.CD000060.pub2"
" O2 saturation < 95% at 60 minutes (A+/- 15 minutes)","secondary","14651858.CD000060.pub2"
" O2 saturation < 95% at 120 minutes (A+/- 30 minutes)","secondary","14651858.CD000060.pub2"
"Need for corticosteroids in emergency department prior to disposition","secondary","14651858.CD000060.pub2"
"Tremor","secondary","14651858.CD000060.pub2"
"Vomiting","secondary","14651858.CD000060.pub2"
"Nausea","secondary","14651858.CD000060.pub2"
"Relapse","secondary","14651858.CD000060.pub2"
"Maintenance of remission","primary","14651858.CD000067.pub3"
"Maintenance of remission (sensitivity analysis excluding Candy 1995)","primary","14651858.CD000067.pub3"
"Adverse events","secondary","14651858.CD000067.pub3"
"Withdrawals due to adverse events","secondary","14651858.CD000067.pub3"
"Serious adverse events","secondary","14651858.CD000067.pub3"
"Steroid sparing effect","secondary","14651858.CD000067.pub3"
"Ipsilateral stroke","primary","14651858.CD000071.pub4"
"Any stroke","secondary","14651858.CD000071.pub4"
"Death from all causes","secondary","14651858.CD000071.pub4"
"Fatal stroke","secondary","14651858.CD000071.pub4"
"Stroke or death","secondary","14651858.CD000071.pub4"
"Arterial rupture","secondary","14651858.CD000071.pub4"
"Cranial nerve palsy","secondary","14651858.CD000071.pub4"
"Wound infection","secondary","14651858.CD000071.pub4"
"Complication requiring further operation","secondary","14651858.CD000071.pub4"
"Arterial occlusion","secondary","14651858.CD000071.pub4"
"Wound haemorrhage","secondary","14651858.CD000071.pub4"
"Combined stroke and TIA","secondary","14651858.CD000071.pub4"
"Early re-stenosis or occlusion","secondary","14651858.CD000071.pub4"
"Infection at endarterectomy site","secondary","14651858.CD000071.pub4"
"Arterial occlusions/re-stenosis > 50%","secondary","14651858.CD000071.pub4"
"Pseudoaneurysm formation","secondary","14651858.CD000071.pub4"
"Death","secondary","14651858.CD000071.pub4"
"Arterial occlusion/re-stenosis > 50%","secondary","14651858.CD000071.pub4"
"Birth injury to infant","primary","14651858.CD000078.pub3"
"Birth asphyxia","primary","14651858.CD000078.pub3"
"Perinatal death","secondary","14651858.CD000078.pub3"
"Hypoxic ischemic encephalopathy","secondary","14651858.CD000078.pub3"
"Breastfeeding","secondary","14651858.CD000078.pub3"
"Cord pH below normal range","secondary","14651858.CD000078.pub3"
"Abnormal follow-up in childhood","secondary","14651858.CD000078.pub3"
"Neonatal fitting/seizures","secondary","14651858.CD000078.pub3"
"Apgar score less than seven at five minutes","secondary","14651858.CD000078.pub3"
"Respiratory distress syndrome","secondary","14651858.CD000078.pub3"
"Delivery < 7 days after entry","secondary","14651858.CD000078.pub3"
"Neonatal infection (proven) (outcome not prespecified)","secondary","14651858.CD000078.pub3"
"Intracranial pathology (outcome not prespecified)","secondary","14651858.CD000078.pub3"
"Other birth trauma (outcome not prespecified)","secondary","14651858.CD000078.pub3"
"Head entrapment (outcome not prespecified)","secondary","14651858.CD000078.pub3"
"Necrotosing entercolitis (outcome not prespecified)","secondary","14651858.CD000078.pub3"
"Cord prolapse (outcome not prespecified)","secondary","14651858.CD000078.pub3"
"Need for mechanical ventilation (outcome not prespecified)","secondary","14651858.CD000078.pub3"
"Ventilation (days) (outcome not prespecified)","secondary","14651858.CD000078.pub3"
"Supplemental oxygen (days) (outcome not prespecified)","secondary","14651858.CD000078.pub3"
"Neonatal jaundice (outcome not prespecified)","secondary","14651858.CD000078.pub3"
"Major maternal postpartum complications","primary","14651858.CD000078.pub3"
"Postpartum haemorrhage","secondary","14651858.CD000078.pub3"
"Maternal puerperal pyrexia (outcome not prespecified)","secondary","14651858.CD000078.pub3"
"Maternal wound infection (outcome not prespecified)","secondary","14651858.CD000078.pub3"
"Other maternal infection (outcome not prespecified)","secondary","14651858.CD000078.pub3"
"Maternal stay more than 10 days (outcome not prespecified)","secondary","14651858.CD000078.pub3"
"Need for blood transfusion (outcome not prespecified)","secondary","14651858.CD000078.pub3"
"Vaginal cephalic birth not achieved (CS + breech vaginal birth) (not prespecified)","primary","14651858.CD000083.pub3"
"Caesarean section","primary","14651858.CD000083.pub3"
"Non-cephalic presentation at birth","secondary","14651858.CD000083.pub3"
"Vaginal breech birth (not prespecified)","secondary","14651858.CD000083.pub3"
"Apgar score < 7 at 1 minute (not prespecified)","secondary","14651858.CD000083.pub3"
"Apgar score < 7 at 5 minutes","secondary","14651858.CD000083.pub3"
"Umbilical vein pH < 7.20","secondary","14651858.CD000083.pub3"
"Perinatal death","secondary","14651858.CD000083.pub3"
"Neonatal admission","secondary","14651858.CD000083.pub3"
"Enrolment-delivery interval (not prespecified)","secondary","14651858.CD000083.pub3"
"Vaginal cephalic birth not achieved (CS + breech vaginal birth)","primary","14651858.CD000083.pub3"
"Non cephalic presentation at birth","secondary","14651858.CD000083.pub3"
"Vaginal breech birth","secondary","14651858.CD000083.pub3"
"Non-cephalic presentation at the birth","primary","14651858.CD000084.pub3"
"Vaginal cephalic birth not achieved (CS + breech vaginal birth)","primary","14651858.CD000084.pub3"
"Caesarean section","secondary","14651858.CD000084.pub3"
"Vaginal breech birth","primary","14651858.CD000084.pub3"
"Apgar score < 7 at 1 minute","secondary","14651858.CD000084.pub3"
"Perinatal mortality","secondary","14651858.CD000084.pub3"
"Apgar score < 7 at 5 minutes","secondary","14651858.CD000084.pub3"
"Stillbirth and neonatal mortality < 7 days","secondary","14651858.CD000084.pub3"
"Vaginal cephalic birth not achieved (CS + vaginal breech birth)","primary","14651858.CD000084.pub3"
"Stillbirth or neonatal mortality < 7 days","secondary","14651858.CD000084.pub3"
"Preterm birth < 37 weeks","secondary","14651858.CD000084.pub3"
"One or more serious fetal complications following randomisation","secondary","14651858.CD000084.pub3"
"NICU stay 4 days or longer","secondary","14651858.CD000084.pub3"
"(Non-prespecified outcome) Maternal pain score (0-100; 0 = no pain)","secondary","14651858.CD000084.pub3"
"Live birth rate per woman randomised","primary","14651858.CD000099.pub4"
"Clinical pregnancy rate per woman randomised","secondary","14651858.CD000099.pub4"
"Number of women with at least one oocyte retrieved per woman randomised","secondary","14651858.CD000099.pub4"
"Mean number of oocytes retrieved","secondary","14651858.CD000099.pub4"
"Embryo transfer achieved per woman randomised","secondary","14651858.CD000099.pub4"
"Mean units of gonadotrophin used","secondary","14651858.CD000099.pub4"
"Embryo transfer acheived per woman randomised","secondary","14651858.CD000099.pub4"
"Mean units gonadotropin used","secondary","14651858.CD000099.pub4"
"No of women with at least one oocyte retrieved per woman randomised","secondary","14651858.CD000099.pub4"
"Mean units of gonadotropin used","secondary","14651858.CD000099.pub4"
"Mortality at early follow-up (not later than 28 days)","secondary","14651858.CD000103.pub2"
"Mortality at late follow-up (3-6 months)","primary","14651858.CD000103.pub2"
"Dead or dependent/institutionalised (3-6 months)","primary","14651858.CD000103.pub2"
"Venous thromboembolic events at early follow-up (within 28 days)","secondary","14651858.CD000103.pub2"
"Venous thromboembolic events at late follow-up (3-6 months)","secondary","14651858.CD000103.pub2"
"Anaphylactic (or anaphylactic-like) reactions","secondary","14651858.CD000103.pub2"
"Serious cardiac events, cumulative at latest follow-up","secondary","14651858.CD000103.pub2"
"Dead or dependent/institutionalised (at 3-6 months)","primary","14651858.CD000103.pub2"
"Mode of birth (spontaneous vaginal birth)","primary","14651858.CD000111.pub4"
"Mode of birth (instrumental vaginal births)","primary","14651858.CD000111.pub4"
"Mode of birth (caesarean section)","primary","14651858.CD000111.pub4"
"Use of analgesia (regional)","primary","14651858.CD000111.pub4"
"Perineal trauma (third- or fourth-degree tears)","primary","14651858.CD000111.pub4"
"Admission to neonatal intensive care unit","primary","14651858.CD000111.pub4"
"Neonatal infection","primary","14651858.CD000111.pub4"
"Neonate temperature","secondary","14651858.CD000111.pub4"
"Estimated blood loss (mL)","secondary","14651858.CD000111.pub4"
"Postpartum haemorrhage","secondary","14651858.CD000111.pub4"
"Use of analgesia (pharmacological - pethidine/narcotic)","secondary","14651858.CD000111.pub4"
"Use of any analgesia","secondary","14651858.CD000111.pub4"
"Use of analgesia (pharmacological - any)","secondary","14651858.CD000111.pub4"
"Maternal infection during labour/postnatal period (perineal, systemic, uterine or increase in temperature)","secondary","14651858.CD000111.pub4"
"Artificial rupture of membranes","secondary","14651858.CD000111.pub4"
"Use of oxytocin for augmentation of labour","secondary","14651858.CD000111.pub4"
"Use of non-pharmacological analgesia (transcutaneous nerve stimulation (TENS)","secondary","14651858.CD000111.pub4"
"Duration of first stage (minutes)","secondary","14651858.CD000111.pub4"
"Duration of second stage (minutes)","secondary","14651858.CD000111.pub4"
"Duration of third stage (minutes)","secondary","14651858.CD000111.pub4"
"Duration of total labour (all three stages minutes)","secondary","14651858.CD000111.pub4"
"Perineal trauma (intact)","secondary","14651858.CD000111.pub4"
"Perineal trauma (second-degree tears)","secondary","14651858.CD000111.pub4"
"Perineal trauma (episiotomy)","secondary","14651858.CD000111.pub4"
"Self reports pain score on visual analogue scale of 0-10","secondary","14651858.CD000111.pub4"
"Pain intensity (experience of moderate to severe pain)","secondary","14651858.CD000111.pub4"
"Systolic blood pressure","secondary","14651858.CD000111.pub4"
"Diastolic blood pressure","secondary","14651858.CD000111.pub4"
"Mean arterial blood pressure","secondary","14651858.CD000111.pub4"
"Preference for care in subsequent labour (Does not wish to use bath with next labour/birth)","secondary","14651858.CD000111.pub4"
"Postpartum depression (EPDS more than 11)","secondary","14651858.CD000111.pub4"
"Abnormal fetal heart rate patterns","secondary","14651858.CD000111.pub4"
"Presence of meconium-stained liquor","secondary","14651858.CD000111.pub4"
"Apgar score less than seven at five minutes","secondary","14651858.CD000111.pub4"
"Apgar score at five minutes","secondary","14651858.CD000111.pub4"
"Umbilical artery pH less than 7.20","primary","14651858.CD000111.pub4"
"Breastfeeding - not breastfeeding after six weeks post birth","secondary","14651858.CD000111.pub4"
"Perinatal deaths","primary","14651858.CD000111.pub4"
"Fever reported in first week","secondary","14651858.CD000111.pub4"
"Postpartum haemorrhage more than 500 mL","secondary","14651858.CD000111.pub4"
"Perineal trauma (second degree tear)","secondary","14651858.CD000111.pub4"
"Experience of moderate to severe pain","secondary","14651858.CD000111.pub4"
"Preference for care in subsequent labour (Does not wish to use bath next birth)","secondary","14651858.CD000111.pub4"
"Satisfied with labour","secondary","14651858.CD000111.pub4"
"Apgar score less than seven (five minutes)","secondary","14651858.CD000111.pub4"
"Mean Apgar at five minutes","secondary","14651858.CD000111.pub4"
"Antibiotics given to neonate","secondary","14651858.CD000111.pub4"
"Use of non-pharmacological analgesia (transcutaneous nerve stimulation (TENS))","secondary","14651858.CD000111.pub4"
"Duration of total labour (all three stages)","secondary","14651858.CD000111.pub4"
"Perineal trauma (none- intact)","secondary","14651858.CD000111.pub4"
"Perineal trauma (first- and second-degree tears)","secondary","14651858.CD000111.pub4"
"Maternal temperature","secondary","14651858.CD000111.pub4"
"Satisfied with labour on scale","secondary","14651858.CD000111.pub4"
"Breastfeeding","secondary","14651858.CD000111.pub4"
"Not breastfeeding after six weeks post birth","secondary","14651858.CD000111.pub4"
"Use of pharmacological analgesia (epidural/spinal analgesia/paracervical block)","primary","14651858.CD000111.pub4"
"Use of oxytocin","secondary","14651858.CD000111.pub4"
"Apgar score less than seven at one minute","secondary","14651858.CD000111.pub4"
"Live birth rate","secondary","14651858.CD000112.pub3"
"Live birth rate - intention-to-treat","primary","14651858.CD000112.pub3"
"Caesarean section","primary","14651858.CD000116.pub5"
"Cord pH < 7.05 + base deficit > 12 mmol/L","primary","14651858.CD000116.pub5"
"Neonatal encephalopathy","primary","14651858.CD000116.pub5"
"Fetal blood sampling","secondary","14651858.CD000116.pub5"
"Operative vaginal delivery","secondary","14651858.CD000116.pub5"
"Apgar score < 7 at 5 minutes","secondary","14651858.CD000116.pub5"
"Neonatal intubation","secondary","14651858.CD000116.pub5"
"Admission neonatal special care unit","secondary","14651858.CD000116.pub5"
"Perinatal death","secondary","14651858.CD000116.pub5"
"Death from all causes during treatment period","secondary","14651858.CD000119.pub4"
"Death from all causes during follow-up","secondary","14651858.CD000119.pub4"
"Vascular death during follow-up","secondary","14651858.CD000119.pub4"
"Deep venous thrombosis during treatment period","secondary","14651858.CD000119.pub4"
"Pulmonary embolism during follow-up","secondary","14651858.CD000119.pub4"
"Any intracranial haemorrhage/haemorrhagic transformation of the cerebral infarct during treatment period","secondary","14651858.CD000119.pub4"
"Symptomatic intracranial haemorrhage/haemorrhagic transformation of the infarct during treatment period","secondary","14651858.CD000119.pub4"
"Extracranial haemorrhage during treatment period","secondary","14651858.CD000119.pub4"
"Effect of recurrent ischaemic stroke or recurrent stroke of unknown pathological type during treatment period","secondary","14651858.CD000119.pub4"
"Deep venous thrombosis according to heparinoid dosage regimen","secondary","14651858.CD000119.pub4"
