"group"	"DOI"	"Title"	"Year"
"children"	"10.1002/14651858.CD006475.pub3"	"Probiotics in infants for prevention of allergic disease"	2025
"children"	"10.1002/14651858.CD013052.pub3"	"Systemic antibiotics for chronic suppurative otitis media"	2025
"children_and_adults"	"10.1002/14651858.CD013051.pub3"	"Topical antibiotics for chronic suppurative otitis media"	2025
"children_and_adults"	"10.1002/14651858.CD013057.pub3"	"Aural toilet (ear cleaning) for chronic suppurative otitis media"	2025
"children_and_adults"	"10.1002/14651858.CD013053.pub3"	"Topical versus systemic antibiotics for chronic suppurative otitis media"	2025
"children_and_adults"	"10.1002/14651858.CD013056.pub3"	"Antibiotics versus topical antiseptics for chronic suppurative otitis media"	2025
"children"	"10.1002/14651858.CD013055.pub3"	"Topical antiseptics for chronic suppurative otitis media"	2025
"children_and_adults"	"10.1002/14651858.CD002243.pub5"	"Corticosteroids for treating sepsis in children and adults"	2025
"children_and_adults"	"10.1002/14651858.CD013078.pub2"	"Exercise for patellar tendinopathy"	2025
"children_and_adults"	"10.1002/14651858.CD015530.pub2"	"Vaccines for preventing infections in adults with haematological malignancies"	2025
"children"	"10.1002/14651858.CD003743.pub3"	"Early discharge with home support of gavage feeding for stable preterm infants who have not established full oral feeds"	2025
"children"	"10.1002/14651858.CD003594.pub7"	"Interventions for idiopathic steroid‐resistant nephrotic syndrome in children"	2025
"children"	"10.1002/14651858.CD012178.pub2"	"Lutein and zeaxanthin for reducing morbidity and mortality in preterm infants"	2025
"children_and_adults"	"10.1002/14651858.CD012997.pub3"	"Interventions for preventing diarrhoea‐associated haemolytic uraemic syndrome"	2025
"children_and_adults"	"10.1002/14651858.CD012635.pub2"	"Blood transfusion strategies for major bleeding in trauma"	2025
"children_and_adults"	"10.1002/14651858.CD015536.pub2"	"Entecavir for children and adults with chronic hepatitis B"	2025
"children_and_adults"	"10.1002/14651858.CD006913.pub3"	"Psychological interventions for treatment of inflammatory bowel disease"	2025
"children_and_adults"	"10.1002/14651858.CD004762.pub3"	"Drug treatment for myotonia"	2025
"children_and_adults"	"10.1002/14651858.CD010533.pub3"	"Positron emission tomography‐adapted therapy for first‐line treatment in adults with Hodgkin lymphoma"	2025
"children_and_adults"	"10.1002/14651858.CD009752.pub3"	"Red blood cell transfusion management for people undergoing cardiac surgery for congenital heart disease"	2025
"children"	"10.1002/14651858.CD015127.pub2"	"Safety and efficacy of proton pump inhibitors in preterm infants with gastroesophageal reflux disease"	2025
"children"	"10.1002/14651858.CD011468.pub2"	"Angioplasty or stenting for deep venous thrombosis"	2025
"children"	"10.1002/14651858.CD014758.pub3"	"Interventions for myopia control in children: a living systematic review and network meta‐analysis"	2025
"children"	"10.1002/14651858.CD008469.pub3"	"Home‐based educational interventions for children with asthma"	2025
"children_and_adults"	"10.1002/14651858.CD009730.pub3"	"Intravenous antibiotics for pulmonary exacerbations in people with cystic fibrosis"	2025
"children"	"10.1002/14651858.CD012170.pub2"	"Interventions implemented through sporting organisations for promoting healthy behaviour or improving health outcomes"	2025
"children"	"10.1002/14651858.CD006982.pub5"	"Cycled light in the intensive care unit for preterm and low birth weight infants"	2024
"children"	"10.1002/14651858.CD007968.pub3"	"Acupuncture for hypoxic ischemic encephalopathy in neonates"	2024
"children"	"10.1002/14651858.CD011677.pub4"	"Strategies for enhancing the implementation of school‐based policies or practices targeting diet, physical activity, obesity, tobacco or alcohol use"	2024
"children"	"10.1002/14651858.CD009362.pub4"	"Dressings and topical agents for preventing pressure ulcers"	2024
"children_and_adults"	"10.1002/14651858.CD007110.pub4"	"Chemotherapy alone versus chemotherapy plus radiotherapy for adults with early‐stage Hodgkin’s lymphoma"	2024
"children"	"10.1002/14651858.CD013707.pub2"	"Inotropes for the prevention of low cardiac output syndrome and mortality for paediatric patients undergoing surgery for congenital heart disease: a network meta‐analysis"	2024
"children"	"10.1002/14651858.CD014803.pub2"	"Omega‐3 fatty acid supplementation for depression in children and adolescents"	2024
"children"	"10.1002/14651858.CD007079.pub4"	"Calcium supplementation (other than for preventing or treating hypertension) for improving pregnancy and infant outcomes"	2024
"children_and_adults"	"10.1002/14651858.CD003218.pub3"	"Psychostimulants for hypersomnia (excessive daytime sleepiness) in myotonic dystrophy"	2024
"children"	"10.1002/14651858.CD002290.pub6"	"Non‐corticosteroid immunosuppressive medications for steroid‐sensitive nephrotic syndrome in children"	2024
"children_and_adults"	"10.1002/14651858.CD010189.pub3"	"Bone marrow versus peripheral blood allogeneic haematopoietic stem cell transplantation for haematological malignancies in adults"	2024
"children_and_adults"	"10.1002/14651858.CD012718.pub2"	"Topical silver diamine fluoride (SDF) for preventing and managing dental caries in children and adults"	2024
"children_and_adults"	"10.1002/14651858.CD009022.pub3"	"Single‐incision versus conventional multi‐incision laparoscopic appendicectomy for suspected uncomplicated appendicitis"	2024
"children"	"10.1002/14651858.CD000143.pub2"	"Nasal continuous positive airway pressure immediately after extubation for preventing morbidity in preterm infants"	2024
"children"	"10.1002/14651858.CD010856.pub3"	"Water fluoridation for the prevention of dental caries"	2024
"children"	"10.1002/14651858.CD010294.pub3"	"Interventions for preventing the progression of autosomal dominant polycystic kidney disease"	2024
"children"	"10.1002/14651858.CD012067.pub3"	"Non‐invasive positive pressure ventilation for acute asthma in children"	2024
"children"	"10.1002/14651858.CD008552.pub8"	"Interventions for increasing fruit and vegetable consumption in children aged five years and under"	2024
"children"	"10.1002/14651858.CD002971.pub6"	"Donor human milk for preventing necrotising enterocolitis in very preterm or very low‐birthweight infants"	2024
"children_and_adults"	"10.1002/14651858.CD009679.pub3"	"Surgical fixation methods for tibial plateau fractures"	2024
"children"	"10.1002/14651858.CD001533.pub7"	"Corticosteroid therapy for nephrotic syndrome in children"	2024
"children"	"10.1002/14651858.CD004736.pub6"	"Daily oral iron supplementation during pregnancy"	2024
"children_and_adults"	"10.1002/14651858.CD015064.pub2"	"Topical anti‐inflammatory treatments for eczema: network meta‐analysis"	2024
"children"	"10.1002/14651858.CD008873.pub5"	"Vitamin D supplementation for women during pregnancy"	2024
"children_and_adults"	"10.1002/14651858.CD013331.pub2"	"Transcutaneous electrical nerve stimulation (TENS) for pain control in women with primary dysmenorrhoea"	2024
"children"	"10.1002/14651858.CD013366.pub2"	"Peripherally inserted central catheter design and material for reducing catheter failure and complications"	2024
"children"	"10.1002/14651858.CD007693.pub3"	"Topical fluoride as a cause of dental fluorosis in children"	2024
"children"	"10.1002/14651858.CD013549.pub2"	"Interventions to increase time spent outdoors for preventing incidence and progression of myopia in children"	2024
"children"	"10.1002/14651858.CD013329.pub2"	"Comprehensive care programmes for children with medical complexity"	2024
"children"	"10.1002/14651858.CD010333.pub4"	"Noise or sound management in the neonatal intensive care unit for preterm or very low birth weight infants"	2024
"children"	"10.1002/14651858.CD011060.pub2"	"Transcutaneous bilirubinometry for detecting jaundice in term or late preterm neonates"	2024
"children_and_adults"	"10.1002/14651858.CD011305.pub3"	"Restrictive versus liberal red blood cell transfusion strategies for people with haematological malignancies treated with intensive chemotherapy or radiotherapy, or both, with or without haematopoietic stem cell support"	2024
"children"	"10.1002/14651858.CD012155.pub3"	"Interventions with pregnant women, new mothers and other primary caregivers for preventing early childhood caries"	2024
"children"	"10.1002/14651858.CD013038.pub3"	"Exposure to the smell and taste of milk to accelerate feeding in preterm infants"	2024
"children_and_adults"	"10.1002/14651858.CD006214.pub5"	"Debridement for surgical wounds"	2024
"children_and_adults"	"10.1002/14651858.CD009530.pub5"	"Bronchoscopy‐guided antimicrobial therapy for cystic fibrosis"	2024
"children"	"10.1002/14651858.CD003774.pub5"	"Antiviral medications for preventing cytomegalovirus disease in solid organ transplant recipients"	2024
"children_and_adults"	"10.1002/14651858.CD011670.pub3"	"Early versus delayed appendicectomy for appendiceal phlegmon or abscess"	2024
"children"	"10.1002/14651858.CD012712.pub2"	"Non‐invasive high‐frequency ventilation in newborn infants with respiratory distress"	2024
"children"	"10.1002/14651858.CD012361.pub2"	"Dexmedetomidine for analgesia and sedation in newborn infants receiving mechanical ventilation"	2024
"children"	"10.1002/14651858.CD003451.pub3"	"Orthodontic treatment for prominent lower front teeth (Class III malocclusion) in children"	2024
"children"	"10.1002/14651858.CD003214.pub4"	"Inhaled bronchodilators for the prevention and treatment of chronic lung disease in preterm infants"	2024
"children"	"10.1002/14651858.CD009609.pub3"	"High‐flow nasal cannula therapy for infants with bronchiolitis"	2024
"children"	"10.1002/14651858.CD007837.pub3"	"Therapeutic exercises for idiopathic scoliosis in adolescents"	2024
"children_and_adults"	"10.1002/14651858.CD002203.pub5"	"Macrolide antibiotics (including azithromycin) for cystic fibrosis"	2024
"children_and_adults"	"10.1002/14651858.CD012609.pub2"	"Infliximab for maintenance of medically‐induced remission in Crohn's disease"	2024
"children"	"10.1002/14651858.CD005495.pub5"	"Early developmental intervention programmes provided post hospital discharge to prevent motor and cognitive impairment in preterm infants"	2024
"children"	"10.1002/14651858.CD003129.pub2"	"Methotrexate for juvenile idiopathic arthritis"	2024
"children"	"10.1002/14651858.CD003962.pub3"	"Non‐immunosuppressive treatment for IgA nephropathy"	2024
"children"	"10.1002/14651858.CD001431.pub6"	"Decision aids for people facing health treatment or screening decisions"	2024
"children"	"10.1002/14651858.CD008771.pub3"	"Early versus late administration of amino acids in preterm infants receiving parenteral nutrition"	2024
"children"	"10.1002/14651858.CD008309.pub3"	"Laryngeal mask airway surfactant administration for prevention of morbidity and mortality in preterm infants with or at risk of respiratory distress syndrome"	2024
"children"	"10.1002/14651858.CD008973.pub3"	"Topical corticosteroids for treating phimosis in boys"	2024
"children"	"10.1002/14651858.CD012265.pub2"	"Probiotics for the postoperative management of term neonates after gastrointestinal surgery"	2024
"children"	"10.1002/14651858.CD013353.pub2"	"Non‐pharmacological interventions for the prevention of pain during endotracheal suctioning in ventilated neonates"	2024
"children"	"10.1002/14651858.CD013420.pub2"	"Psychological interventions for asthma in children and adolescents"	2024
"children"	"10.1002/14651858.CD012445.pub2"	"Mindfulness‐enhanced parenting programmes for improving the psychosocial outcomes of children (0 to 18 years) and their parents"	2024
"children_and_adults"	"10.1002/14651858.CD014573"	"Oral killed cholera vaccines for preventing cholera"	2024
"children_and_adults"	"10.1002/14651858.CD011218.pub2"	"Education, incentive, and engineering‐based interventions to promote the use of seat belts"	2024
"children"	"10.1002/14651858.CD001322.pub2"	"Cranberries for treating urinary tract infections"	2023
"children"	"10.1002/14651858.CD015592.pub3"	"Positioning for lumbar puncture in newborn infants"	2023
"children"	"10.1002/14651858.CD015255.pub2"	"Topical and oral steroids for otitis media with effusion (OME) in children"	2023
"children"	"10.1002/14651858.CD012993.pub2"	"Enzyme replacement therapy for late‐onset Pompe disease"	2023
"children_and_adults"	"10.1002/14651858.CD001909.pub4"	"Lamotrigine add‐on therapy for drug‐resistant focal epilepsy"	2023
"children"	"10.1002/14651858.CD008145.pub4"	"Interventions for improving coverage of childhood immunisation in low‐ and middle‐income countries"	2023
"children"	"10.1002/14651858.CD013294.pub2"	"Automated oxygen delivery for preterm infants with respiratory dysfunction"	2023
"children"	"10.1002/14651858.CD012152.pub4"	"Oral dextrose gel to prevent hypoglycaemia in at‐risk neonates"	2023
"children"	"10.1002/14651858.CD015582.pub2"	"Stem cell‐based interventions for the treatment of stroke in newborn infants"	2023
"children_and_adults"	"10.1002/14651858.CD010966.pub4"	"Corrector therapies (with or without potentiators) for people with cystic fibrosis with class II CFTR gene variants (most commonly F508del)"	2023
"children_and_adults"	"10.1002/14651858.CD004406.pub6"	"Different antibiotic treatments for group A streptococcal pharyngitis"	2023
"children"	"10.1002/14651858.CD015215.pub2"	"Ventilation tubes (grommets) for otitis media with effusion (OME) in children"	2023
"children"	"10.1002/14651858.CD000219.pub5"	"Antibiotics for acute otitis media in children"	2023
"children_and_adults"	"10.1002/14651858.CD001321.pub7"	"Cranberries for preventing urinary tract infections"	2023
"children"	"10.1002/14651858.CD013830.pub2"	"Methylxanthine for the prevention and treatment of apnea in preterm infants"	2023
"children"	"10.1002/14651858.CD013158.pub2"	"Surfactant therapy guided by tests for lung maturity in preterm infants at risk of respiratory distress syndrome"	2023
"children_and_adults"	"10.1002/14651858.CD014967.pub2"	"Anti‐seizure medications for neonates with seizures"	2023
"children"	"10.1002/14651858.CD009417.pub3"	"Immunoglobulin treatment for hospitalised infants and young children with respiratory syncytial virus infection"	2023
"children_and_adults"	"10.1002/14651858.CD009945.pub3"	"Immunomodulatory interventions for focal epilepsy"	2023
"children"	"10.1002/14651858.CD012642.pub2"	"Higher versus lower sodium intake for preterm infants"	2023
"children_and_adults"	"10.1002/14651858.CD011769.pub2"	"Pharmacological intervention for irritability, aggression, and self‐injury in autism spectrum disorder (ASD)"	2023
"children"	"10.1002/14651858.CD013232.pub2"	"Superoxide dismutase for bronchopulmonary dysplasia in preterm infants"	2023
"children_and_adults"	"10.1002/14651858.CD004417.pub6"	"Immediate versus delayed versus no antibiotics for respiratory infections"	2023
"children"	"10.1002/14651858.CD015462.pub2"	"Caffeine versus other methylxanthines for the prevention and treatment of apnea in preterm infants"	2023
"children_and_adults"	"10.1002/14651858.CD004372.pub3"	"Psychological interventions for depression in adolescent and adult congenital heart disease"	2023
"children"	"10.1002/14651858.CD013472.pub2"	"Musical and vocal interventions to improve neurodevelopmental outcomes for preterm infants"	2023
"children"	"10.1002/14651858.CD014806"	"Sucrose analgesia for heel‐lance procedures in neonates"	2023
"children"	"10.1002/14651858.CD010224.pub3"	"Monotherapy treatment of epilepsy in pregnancy: congenital malformation outcomes in the child"	2023
"children"	"10.1002/14651858.CD004950.pub4"	"Breastfeeding or breast milk for procedural pain in neonates"	2023
"children"	"10.1002/14651858.CD010469.pub4"	"Corticosteroid implants for chronic non‐infectious uveitis"	2023
"children_and_adults"	"10.1002/14651858.CD011570.pub2"	"Specific psychological therapies versus other therapies or no treatment for severe and enduring anorexia nervosa"	2023
"children"	"10.1002/14651858.CD008550.pub3"	"Pharmacological treatment of gastro‐oesophageal reflux in children"	2023
"children"	"10.1002/14651858.CD015422.pub2"	"Topical repellents for malaria prevention"	2023
"children_and_adults"	"10.1002/14651858.CD013797.pub2"	"Addition of long‐acting beta2 agonists or long‐acting muscarinic antagonists versus doubling the dose of inhaled corticosteroids (ICS) in adolescents and adults with uncontrolled asthma with medium dose ICS: a systematic review and network meta‐analysis"	2023
"children"	"10.1002/14651858.CD011534.pub3"	"Paracetamol (acetaminophen) or non‐steroidal anti‐inflammatory drugs, alone or combined, for pain relief in acute otitis media in children"	2023
"children"	"10.1002/14651858.CD002292.pub4"	"Interventions for bullous pemphigoid"	2023
"children"	"10.1002/14651858.CD011010.pub2"	"High flow nasal cannula for respiratory support in term infants"	2023
"children_and_adults"	"10.1002/14651858.CD012380.pub3"	"Interventions for chronic kidney disease in people with sickle cell disease"	2023
"children"	"10.1002/14651858.CD014890.pub2"	"Vocabulary interventions for second language (L2) learners up to six years of age"	2023
"children"	"10.1002/14651858.CD007315.pub3"	"Perioperative glycaemic control for people with diabetes undergoing surgery"	2023
"children"	"10.1002/14651858.CD003212.pub4"	"Nasal intermittent positive pressure ventilation (NIPPV) versus nasal continuous positive airway pressure (NCPAP) for preterm neonates after extubation"	2023
"children"	"10.1002/14651858.CD005496.pub6"	"Probiotics to prevent necrotising enterocolitis in very preterm or very low birth weight infants"	2023
"children_and_adults"	"10.1002/14651858.CD004065.pub4"	"Medical treatment of eosinophilic esophagitis"	2023
"children"	"10.1002/14651858.CD005384.pub3"	"Early nasal intermittent positive pressure ventilation (NIPPV) versus early nasal continuous positive airway pressure (NCPAP) for preterm infants"	2023
"children"	"10.1002/14651858.CD013660.pub2"	"Continuous positive airway pressure (CPAP) for apnoea of prematurity"	2023
"children_and_adults"	"10.1002/14651858.CD013611.pub2"	"Vedolizumab for induction and maintenance of remission in Crohn's disease"	2023
"children"	"10.1002/14651858.CD011159.pub3"	"Mobile phone‐based interventions for improving contraception use"	2023
"children_and_adults"	"10.1002/14651858.CD011272.pub3"	"Rapamycin and rapalogs for tuberous sclerosis complex"	2023
"children"	"10.1002/14651858.CD012940.pub3"	"Re‐feeding versus discarding gastric residuals to improve growth in preterm infants"	2023
"children"	"10.1002/14651858.CD012458.pub2"	"Infant isolation and cohorting for preventing or reducing transmission of healthcare‐associated infections in neonatal units"	2023
"children"	"10.1002/14651858.CD006586.pub5"	"Oral contraceptives containing drospirenone for premenstrual syndrome"	2023
"children"	"10.1002/14651858.CD015056.pub3"	"Opioids for procedural pain in neonates"	2023
"children"	"10.1002/14651858.CD010887.pub3"	"Non‐surgical adjunctive interventions for accelerating tooth movement in patients undergoing orthodontic treatment"	2023
"children"	"10.1002/14651858.CD004205.pub4"	"Pentoxifylline for treatment of sepsis and necrotising enterocolitis in neonates"	2023
"children"	"10.1002/14651858.CD009720.pub3"	"Oral stimulation for promoting oral feeding in preterm infants"	2023
"children"	"10.1002/14651858.CD012937.pub3"	"Routine monitoring of gastric residual for prevention of necrotising enterocolitis in preterm infants"	2023
"children_and_adults"	"10.1002/14651858.CD001506.pub5"	"Nebulised hypertonic saline for cystic fibrosis"	2023
"children"	"10.1002/14651858.CD006275.pub4"	"Non‐pharmacological management of infant and young child procedural pain"	2023
"children"	"10.1002/14651858.CD013653.pub2"	"Antivirals for prevention of hepatitis B virus mother‐to‐child transmission in human immunodeficiency virus positive pregnant women co‐infected with hepatitis B virus"	2023
"children"	"10.1002/14651858.CD005549.pub4"	"Interventions for waterpipe smoking cessation"	2023
"children"	"10.1002/14651858.CD013326.pub4"	"Hand hygiene for the prevention of infections in neonates"	2023
"children_and_adults"	"10.1002/14651858.CD009688.pub3"	"Interventions for the symptoms and signs resulting from jellyfish stings"	2023
"children"	"10.1002/14651858.CD013361.pub2"	"Comparative effectiveness of psychological interventions for treating the psychological consequences of sexual abuse in children and adolescents: a network meta‐analysis"	2023
"children_and_adults"	"10.1002/14651858.CD011203.pub3"	"Alemtuzumab for multiple sclerosis"	2023
"children"	"10.1002/14651858.CD004197.pub6"	"Antibiotic strategies for eradicating Pseudomonas aeruginosa in people with cystic fibrosis"	2023
"children"	"10.1002/14651858.CD013851.pub2"	"Acetylcholinesterase inhibitors for autistic spectrum disorders"	2023
"children"	"10.1002/14651858.CD015133.pub2"	"Prebiotics to prevent necrotising enterocolitis in very preterm or very low birth weight infants"	2023
"children"	"10.1002/14651858.CD013881.pub2"	"Interleukin‐6 blocking agents for treating COVID‐19: a living systematic review"	2023
"children"	"10.1002/14651858.CD014570.pub2"	"PEG‐asparaginase treatment regimens for acute lymphoblastic leukaemia in children: a network meta‐analysis"	2023
"children"	"10.1002/14651858.CD012218.pub2"	"Lactoferrin for the postoperative management of term neonates after gastrointestinal surgery"	2023
"children_and_adults"	"10.1002/14651858.CD002283.pub5"	"Retention procedures for stabilising tooth position after treatment with orthodontic braces"	2023
"children"	"10.1002/14651858.CD009975.pub4"	"Videolaryngoscopy versus direct laryngoscopy for tracheal intubation in neonates"	2023
"children_and_adults"	"10.1002/14651858.CD010429.pub3"	"Treatment for osteoporosis in people with beta‐thalassaemia"	2023
"children"	"10.1002/14651858.CD002011.pub3"	"Conventional chest physiotherapy compared to other airway clearance techniques for cystic fibrosis"	2023
"children"	"10.1002/14651858.CD006405.pub4"	"Nasal high flow therapy for primary respiratory support in preterm infants"	2023
"children"	"10.1002/14651858.CD013841.pub2"	"Antiseptic solutions for skin preparation during central catheter insertion in neonates"	2023
"children"	"10.1002/14651858.CD012746.pub2"	"Personalised interventions for subgroups of children with conduct problems"	2023
"children_and_adults"	"10.1002/14651858.CD012774.pub3"	"Fecal transplantation for treatment of inflammatory bowel disease"	2023
"children"	"10.1002/14651858.CD007986.pub3"	"Polyunsaturated fatty acids (PUFA) for attention deficit hyperactivity disorder (ADHD) in children and adolescents"	2023
"children"	"10.1002/14651858.CD010961.pub2"	"Perampanel add‐on for drug‐resistant focal epilepsy"	2023
"children_and_adults"	"10.1002/14651858.CD001401.pub4"	"Airway clearance techniques compared to no airway clearance techniques for cystic fibrosis"	2023
"children"	"10.1002/14651858.CD015016.pub3"	"Systemic opioid regimens for postoperative pain in neonates"	2023
"children"	"10.1002/14651858.CD015179.pub2"	"Non‐opioid analgesics for procedural pain in neonates"	2023
"children"	"10.1002/14651858.CD006458.pub5"	"Nebulised hypertonic saline solution for acute bronchiolitis in infants"	2023
"children"	"10.1002/14651858.CD004873.pub6"	"Chest physiotherapy for acute bronchiolitis in paediatric patients between 0 and 24 months old"	2023
"children"	"10.1002/14651858.CD015130"	"Bubble devices versus other pressure sources for nasal continuous positive airway pressure in preterm infants"	2023
"children_and_adults"	"10.1002/14651858.CD011006.pub4"	"Antidepressants for the treatment of depression in people with cancer"	2023
"children"	"10.1002/14651858.CD009384.pub3"	"Zinc supplementation for preventing mortality, morbidity, and growth failure in children aged 6 months to 12 years"	2023
"children"	"10.1002/14651858.CD009885.pub3"	"Methylphenidate for children and adolescents with attention deficit hyperactivity disorder (ADHD)"	2023
"children"	"10.1002/14651858.CD001691.pub4"	"Postnatal phenobarbital for the prevention of intraventricular haemorrhage in preterm infants"	2023
"children_and_adults"	"10.1002/14651858.CD006499.pub5"	"Botulinum toxin for the treatment of strabismus"	2023
"children"	"10.1002/14651858.CD010941.pub3"	"Systemic corticosteroid regimens for prevention of bronchopulmonary dysplasia in preterm infants"	2023
"children"	"10.1002/14651858.CD005431.pub5"	"Medical interventions for traumatic hyphema"	2023
"children"	"10.1002/14651858.CD012349.pub3"	"Interventions for improving adherence to iron chelation therapy in people with sickle cell disease or thalassaemia"	2023
"children_and_adults"	"10.1002/14651858.CD012040.pub3"	"Ataluren and similar compounds (specific therapies for premature termination codon class I mutations) for cystic fibrosis"	2023
"children_and_adults"	"10.1002/14651858.CD011364.pub3"	"Ultrasound‐guided arterial cannulation in the paediatric population"	2023
"children"	"10.1002/14651858.CD014876.pub2"	"Systemic opioids versus other analgesics and sedatives for postoperative pain in neonates"	2023
"children_and_adults"	"10.1002/14651858.CD005128.pub4"	"Interventions for preventing and treating kidney disease in IgA vasculitis"	2023
"children_and_adults"	"10.1002/14651858.CD012478.pub2"	"Catheter insertion techniques for improving catheter function and clinical outcomes in peritoneal dialysis patients"	2023
"children"	"10.1002/14651858.CD012849.pub2"	"Probiotics for management of functional abdominal pain disorders in children"	2023
"children"	"10.1002/14651858.CD013201.pub3"	"Stem cell‐based interventions for the prevention and treatment of intraventricular haemorrhage and encephalopathy of prematurity in preterm infants"	2023
"children"	"10.1002/14651858.CD013813.pub2"	"Antibiotics for chronic pulmonary infection in children with a neurodisability (neurodevelopmental disorder)"	2023
"children"	"10.1002/14651858.CD011538.pub2"	"Education support services for improving school engagement and academic performance of children and adolescents with a chronic health condition"	2023
"children_and_adults"	"10.1002/14651858.CD003406.pub5"	"Behavioural and cognitive‐behavioural interventions for outwardly directed aggressive behaviour in people with intellectual disabilities"	2023
"children_and_adults"	"10.1002/14651858.CD011511.pub3"	"Vitamin D for the management of asthma"	2023
"children_and_adults"	"10.1002/14651858.CD007862.pub5"	"Active cycle of breathing technique for cystic fibrosis"	2023
"children"	"10.1002/14651858.CD012969.pub3"	"Treatment of dental and orthodontic complications in thalassaemia"	2023
"children"	"10.1002/14651858.CD006207.pub6"	"Physical interventions to interrupt or reduce the spread of respiratory viruses"	2023
"children_and_adults"	"10.1002/14651858.CD008106.pub4"	"Surgical versus non‐surgical interventions for treating patellar dislocation"	2023
"children"	"10.1002/14651858.CD004917.pub4"	"Interventions for infantile esotropia"	2023
"children"	"10.1002/14651858.CD011597.pub3"	"Vitamin D as an adjunct to antibiotics for the treatment of acute childhood pneumonia"	2023
"children_and_adults"	"10.1002/14651858.CD002010.pub5"	"Bisphosphonates for osteoporosis in people with cystic fibrosis"	2023
"children"	"10.1002/14651858.CD001955.pub5"	"Glucocorticoids for croup in children"	2023
"children"	"10.1002/14651858.CD002311.pub5"	"Late (≥ 7 days) inhaled corticosteroids to reduce bronchopulmonary dysplasia in preterm infants"	2022
"children"	"10.1002/14651858.CD010061.pub5"	"Paracetamol (acetaminophen) for patent ductus arteriosus in preterm or low birth weight infants"	2022
"children"	"10.1002/14651858.CD002190.pub6"	"Vaccines for the common cold"	2022
"children"	"10.1002/14651858.CD005974.pub6"	"Homeopathic medicinal products for preventing and treating acute respiratory tract infections in children"	2022
"children"	"10.1002/14651858.CD009650.pub5"	"Interventions for the eradication of meticillin‐resistant Staphylococcus aureus (MRSA) in people with cystic fibrosis"	2022
"children"	"10.1002/14651858.CD012463.pub2"	"Family‐centred interventions for Indigenous early childhood well‐being by primary healthcare services"	2022
"children_and_adults"	"10.1002/14651858.CD010790.pub3"	"Laser therapy for retinopathy in sickle cell disease"	2022
"children_and_adults"	"10.1002/14651858.CD013434.pub2"	"Ultrasound guidance versus landmark method for peripheral venous cannulation in adults"	2022
"children"	"10.1002/14651858.CD012574.pub2"	"Bioengineered nerve conduits and wraps for peripheral nerve repair of the upper limb"	2022
"children"	"10.1002/14651858.CD015477"	"Efficacy and safety of COVID‐19 vaccines"	2022
"children_and_adults"	"10.1002/14651858.CD013799.pub2"	"Effectiveness and tolerability of dual and triple combination inhaler therapies compared with each other and varying doses of inhaled corticosteroids in adolescents and adults with asthma: a systematic review and network meta‐analysis"	2022
"children"	"10.1002/14651858.CD010612.pub3"	"Timing of kidney replacement therapy initiation for acute kidney injury"	2022
"children"	"10.1002/14651858.CD013534.pub3"	"Skin care interventions in infants for preventing eczema and food allergy"	2022
"children"	"10.1002/14651858.CD015129"	"Masks versus prongs as interfaces for nasal continuous positive airway pressure in preterm infants"	2022
"children_and_adults"	"10.1002/14651858.CD001021.pub4"	"Inhaled anti‐pseudomonal antibiotics for long‐term therapy in cystic fibrosis"	2022
